guid,titulo,bytes
098f6cd4-38c0-48d9-8b8f-40792671adc2,"Reporte Informativo ASFI al 03/07/2026",177000
9c3e8700-1f17-446a-9977-1dee0a8316e8,"Reporte Informativo ASFI al 02/07/2026",149744
77360735-0689-4131-8045-79159e5abd1e,"Reporte Informativo ASFI al 01/07/2026",187781
31b2d046-d652-41ab-92c2-511884ee9313,"Reporte Informativo ASFI al 30/06/2026",209460
8e56fcf4-aea9-4312-ad2a-25e54eb5db60,"Reporte Informativo ASFI al 29/06/2026",190040
460b4e91-d8b7-4586-ae7d-b849ba3e82b3,"Reporte Informativo ASFI al 26/06/2026",169808
58a84fa5-1a40-4826-9bb2-5bdd0360f683,"Reporte Informativo ASFI al 25/06/2026",164734
c5278d93-1ad1-464e-8bae-ab76eadde450,"Reporte Informativo ASFI al 24/06/2026",178857
cc99d2dc-bd0d-4ecb-8be0-8f28facde5eb,"Reporte Informativo ASFI al 23/06/2026",180598
17a0bf4c-6822-4d1b-ac22-7c4dfbe3adb9,"Reporte Informativo ASFI al 19/06/2026",164915
9f3c9d55-428b-4a2d-a13d-1b82b9d1aa0b,"Reporte Informativo ASFI al 18/06/2026",177378
308558ef-1a54-467e-86a9-8fa67fb0123e,"Reporte Informativo ASFI al 17/06/2026",162104
0807d2fe-551f-40ce-a1c4-ff4627ddef8f,"Reporte Informativo ASFI al 16/06/2026",139781
75d42e5c-99dd-458a-a7f7-619402f1f708,"Reporte Informativo ASFI al 15/06/2026",180367
c82aed37-7a95-479a-8088-244f8a71897a,"Reporte Informativo ASFI al 12/06/2026",136838
65f9a0de-6873-4494-93de-dda979d33173,"Reporte Informativo ASFI al 11/06/2026",172264
9db71b26-f7e0-4b2e-8db0-e75313651e3e,"Reporte Informativo ASFI al 10/06/2026",164064
2ccdda10-407f-47d3-a2e5-aa74b8d69818,"Reporte Informativo ASFI al 09/06/2026",149833
cbd548be-91ac-4c23-81ef-f5b0df0e8fe1,"Reporte Informativo ASFI al 08/06/2026",168506
684663a0-df66-49a6-8f56-e488f315ab40,"Reporte Informativo ASFI al 03/06/2026",167758
98d31295-92ef-4bb1-96eb-041fd9ed7f96,"Reporte Informativo ASFI al 02/06/2026",142289
a8d94799-0d1b-4e17-8431-4ecf4f1a64dd,"Reporte Informativo ASFI al 01/06/2026",174672
1f21e654-dbdb-4b01-bb65-f3225d530d03,"Reporte Informativo ASFI al 29/05/2026",179975
fbb7645e-a2aa-420b-86e6-8df399f545f2,"Reporte Informativo ASFI al 28/05/2026",131391
d080c7ed-0b4b-41ef-8683-352a9e3c56f8,"Reporte Informativo ASFI al 27/05/2026",160415
7ce25d25-e0b4-4399-b3e2-7a9c92afe925,"Reporte Informativo ASFI al 26/05/2026",121113
b64dfc87-b14a-4d1e-b46d-7d1a06586c5a,"Reporte Informativo ASFI al 25/05/2026",134952
9fa1207c-bc60-4c7c-87ae-5a836bb43e71,"Reporte Informativo ASFI al 22/05/2026",136035
c1aaabc8-3255-4074-8e75-4c3103ebcd87,"Reporte Informativo ASFI al 21/05/2026",164326
c84f23d7-163e-48e9-a37a-6008328ab2d9,"Reporte Informativo ASFI al 20/05/2026",126363
ddf06c07-3b4d-473c-9087-af310e654094,"Reporte Informativo ASFI al 19/05/2026",123932
751b4a46-6680-4046-9672-07e6058bec7a,"Reporte Informativo ASFI al 18/05/2026",143389
4281eb57-5b10-4fb0-adcc-c35136016d48,"Reporte Informativo ASFI al 15/05/2026",139020
6d35c685-6a1c-4bcd-ae95-9fe2c9dabf67,"Reporte Informativo ASFI al 14/05/2026",147979
c2ff0f4a-b6f9-444c-b890-bfc5586e6f6e,"Reporte Informativo ASFI al 13/05/2026",134503
0030b7f7-2b64-44e7-abe3-be9c2bde8342,"Reporte Informativo ASFI al 12/05/2026",103699
d7001319-a1ef-4530-932f-d2dbc6e31387,"Reporte Informativo ASFI al 11/05/2026",217067
34ed583b-1011-42dc-b450-dd6b16b0edb6,"Reporte Informativo ASFI al 08/05/2026",140792
c01d31e4-a076-492c-8330-1de632099687,"Reporte Informativo ASFI al 07/05/2026",144137
111e2b52-9c1d-48fd-a2c1-e3fa6674f7ff,"Reporte Informativo ASFI al 06/05/2026",126420
650999d1-f73a-466f-a977-d837b5ec7bc8,"Reporte Informativo ASFI al 05/05/2026",151908
1d566faa-3ad0-413a-aae8-61db29444848,"Reporte Informativo ASFI al 04/05/2026",159658
9f123eb6-01cf-47f0-a545-797c82e816b2,"Reporte Informativo ASFI al 30/04/2026",235664
f16ca676-38c4-4ef0-a38b-409b25e35d99,"Reporte Informativo ASFI al 29/04/2026",163906
d1d3b048-440c-4dc1-a1ae-4c083062133e,"Reporte Informativo ASFI al 28/04/2026",221507
4c9f658f-f1a6-476a-89f5-80dbd462e901,"Reporte Informativo ASFI al 27/04/2026",146746
e11e4af0-60c4-4791-ba33-9a6c733e3d3b,"Reporte Informativo ASFI al 24/04/2026",144634
dc22d75c-562f-45c0-9a98-c82cfabae14d,"Reporte Informativo ASFI al 23/04/2026",126521
82bc980d-4dd7-4ef5-91cb-0420d45c61fc,"Reporte Informativo ASFI al 22/04/2026",144198
e448acb9-00e5-413e-b6fa-54717529c9b6,"Reporte Informativo ASFI al 21/04/2026",148136
02f4b0ec-3c67-4f9e-8cc0-84802db02ea6,"Reporte Informativo ASFI al 20/04/2026",136395
bfaed61c-714e-4a07-a2db-5270b34d570a,"Reporte Informativo ASFI al 17/04/2026",119055
1755b53d-ddba-423f-bea7-1971e5d91393,"Reporte Informativo ASFI al 16/04/2026",152837
b85465e3-cfed-432c-bbdc-21f231ed4eda,"Reporte Informativo ASFI al 15/04/2026",138275
5d2e5498-a12d-408f-b67c-9588f3c97a9e,"Reporte Informativo ASFI al 14/04/2026",165492
6db4b3f8-978b-4466-ad21-13bf7236f35a,"Reporte Informativo ASFI al 13/04/2026",129478
2d83a062-71dc-4206-9789-9cbadf68a462,"Reporte Informativo ASFI al 10/04/2026",212144
e824d527-9869-4f9f-873f-948e81ef334d,"Reporte Informativo ASFI al 09/04/2026",139502
