gid,nombre,depto,ine_codes,alias
BOL.1.1.1_2,Azurduy,Chuquisaca,121,
BOL.1.1.2_2,Tarvita,Chuquisaca,122,
BOL.1.10.1_2,Mojocoya,Chuquisaca,133,
BOL.1.10.2_2,Presto,Chuquisaca,132,
BOL.1.10.3_2,Villa Ricardo Mugia - Icla,Chuquisaca,134,Icla
BOL.1.10.4_2,Zudañez,Chuquisaca,131,
BOL.1.2.1_2,Villa Serrano,Chuquisaca,181,
BOL.1.3.1_2,Huacareta,Chuquisaca,152,
BOL.1.3.2_2,Monteagudo,Chuquisaca,151,
BOL.1.4.1_2,Huacaya,Chuquisaca,1102,
BOL.1.4.2_2,Macharetí,Chuquisaca,1103,
BOL.1.4.3_2,Villa Vaca Guzmán,Chuquisaca,1101,
BOL.1.5.1_2,Camargo,Chuquisaca,171,
BOL.1.5.2_2,Incahuasi,Chuquisaca,173,
BOL.1.5.3_2,San Lucas,Chuquisaca,172,
BOL.1.5.4_2,Villa Charcas,Chuquisaca,174,
BOL.1.6.1_2,Poroma,Chuquisaca,113,
BOL.1.6.2_2,Sucre,Chuquisaca,111,
BOL.1.6.3_2,Yotala,Chuquisaca,112,
BOL.1.7.1_2,Culpina,Chuquisaca,192,
BOL.1.7.2_2,Las Carreras,Chuquisaca,193,
BOL.1.7.3_2,Villa Abecia,Chuquisaca,191,
BOL.1.8.1_2,Alcalá,Chuquisaca,144,
BOL.1.8.2_2,El Villar,Chuquisaca,145,
BOL.1.8.3_2,Padilla,Chuquisaca,141,
BOL.1.8.4_2,Sopachui,Chuquisaca,143,Sopachuy
BOL.1.8.5_2,Tomina,Chuquisaca,142,
BOL.1.9.1_2,Tarabuco,Chuquisaca,161,
BOL.1.9.2_2,Yamparáez,Chuquisaca,162,
BOL.2.1.1_2,Arani,Cochabamba,351,
BOL.2.1.2_2,Vacas,Cochabamba,352,
BOL.2.10.1_2,Anzaldo,Cochabamba,342,
BOL.2.10.2_2,Arbieto,Cochabamba,343,
BOL.2.10.3_2,Sacabamba,Cochabamba,344,
BOL.2.10.4_2,Tarata,Cochabamba,341,
BOL.2.11.1_2,Cliza,Cochabamba,381,
BOL.2.11.2_2,Toco,Cochabamba,382,
BOL.2.11.3_2,Tolata,Cochabamba,383,
BOL.2.12.1_2,Alalay,Cochabamba,3133,
BOL.2.12.2_2,Mizque,Cochabamba,3131,
BOL.2.12.3_2,Vila Vila,Cochabamba,3132,
BOL.2.13.1_2,Punata,Cochabamba,3141,
BOL.2.13.2_2,San Benito,Cochabamba,3143,
BOL.2.13.3_2,Tacachi,Cochabamba,3144,
BOL.2.13.4_2,Villa Gualberto Villarroel,Cochabamba,3145,Cuchumuela (V. G.Villarroel)
BOL.2.13.5_2,Villa Rivero,Cochabamba,3142,
BOL.2.14.1_2,Colcapirhua,Cochabamba,,
BOL.2.14.2_2,Quillacollo,Cochabamba,391,
BOL.2.14.3_2,Sipesipe,Cochabamba,392,
BOL.2.14.4_2,Tiquipaya,Cochabamba,393,
BOL.2.14.5_2,Vinto,Cochabamba,394,
BOL.2.15.1_2,Tapacarí,Cochabamba,3111,
BOL.2.16.1_2,Shinahota,Cochabamba,,
BOL.2.16.2_2,Tiraque,Cochabamba,3161,
BOL.2.2.1_2,Arque,Cochabamba,361,
BOL.2.2.2_2,Tacopaya,Cochabamba,362,
BOL.2.3.1_2,Ayopaya,Cochabamba,331,Independencia (Ayopaya)
BOL.2.3.2_2,Cocapata,Cochabamba,333,
BOL.2.3.3_2,Morochata,Cochabamba,332,
BOL.2.4.1_2,Bolivar,Cochabamba,3151,
BOL.2.5.1_2,Aiquile,Cochabamba,321,
BOL.2.5.2_2,Omereque,Cochabamba,323,
BOL.2.5.3_2,Pasorapa,Cochabamba,322,
BOL.2.6.1_2,Capinota,Cochabamba,371,
BOL.2.6.2_2,Santivañez,Cochabamba,372,
BOL.2.6.3_2,Sicaya,Cochabamba,373,
BOL.2.7.1_2,Chimoré,Cochabamba,,
BOL.2.7.2_2,Entre Ríos,Cochabamba,3126,
BOL.2.7.3_2,Pocona,Cochabamba,3123,
BOL.2.7.4_2,Pojo,Cochabamba,3122,
BOL.2.7.5_2,Puerto Villarroel,Cochabamba,3125,
BOL.2.7.6_2,Totora,Cochabamba,3121,
BOL.2.8.1_2,Cochabamba,Cochabamba,,
BOL.2.9.1_2,Colomi,Cochabamba,3102,
BOL.2.9.2_2,Sacaba,Cochabamba,3101,
BOL.2.9.3_2,Villa Tunari,Cochabamba,3103,
BOL.3.1.1_2,San Javier,Beni,,
BOL.3.1.2_2,Trinidad,Beni,,
BOL.3.2.1_2,Puerto Menor de Rurrenabaque,Beni,,Rurrenabaque
BOL.3.2.2_2,Reyes,Beni,,
BOL.3.2.3_2,San Borja,Beni,832,
BOL.3.2.4_2,Santa Rosa,Beni,,
BOL.3.3.1_2,Baures,Beni,,
BOL.3.3.2_2,Huacaraje,Beni,,
BOL.3.3.3_2,Magdalena,Beni,,
BOL.3.4.1_2,Puerto Siles,Beni,,
BOL.3.4.2_2,San Joaquín,Beni,,
BOL.3.4.3_2,San Ramón,Beni,,
BOL.3.5.1_2,Loreto,Beni,861,
BOL.3.5.2_2,San Andrés,Beni,,
BOL.3.6.1_2,San Ignacio,Beni,851,
BOL.3.7.1_2,Guayaramerín,Beni,,
BOL.3.7.2_2,Riberalta,Beni,,
BOL.3.8.1_2,Exaltación,Beni,,
BOL.3.8.2_2,Santa Ana,Beni,,Santa Ana de Yacuma
BOL.4.10.1_2,Desaguadero,La Paz,284,
BOL.4.10.2_2,Jesús de Machaka,La Paz,286,
